Year,Month,Traffic_Accident_Fatalities,Dangerous_Driving,Seatbelts,Mobile_Phones,Speeding,Population_of_Ireland_in_Thousands
2016,Jan,15,461,636,1908,11497,4739.6
2016,Feb,9,433,731,2468,13092,4739.6
2016,March,17,467,1058,2399,16349,4739.6
2016,April,14,376,971,2897,14988,4739.6
2016,May,20,396,1023,3359,16362,4739.6
2016,June,11,246,775,1892,13605,4739.6
2016,July,19,235,803,1984,13750,4739.6
2016,Aug,13,263,699,2142,14872,4739.6
2016,Sept,17,253,735,2122,13329,4739.6
2016,Oct,20,237,,,,4739.6
2016,Nov,9,,,,,4739.6
2016,Dec,18,,,,,4739.6
2017,Jan,17,453,798,2095,13523,4810.9
2017,Feb,11,444,788,2309,11434,4810.9
2017,March,20,554,1042,2948,13913,4810.9
2017,April,7,543,1304,2876,12832,4810.9
2017,May,8,518,1113,2672,13601,4810.9
2017,June,13,604,1219,2620,12149,4810.9
2017,July,16,466,1176,2377,15352,4810.9
2017,Aug,10,465,1045,2639,14227,4810.9
2017,Sept,13,329,755,2344,12080,4810.9
2017,Oct,10,373,768,2423,12486,4810.9
2017,Nov,14,241,588,1899,8950,4810.9
2017,Dec,16,225,381,1093,7101,4810.9
2018,Jan,12,474,525,1888,8236,4884.9
2018,Feb,10,420,719,2075,7948,4884.9
2018,March,12,518,720,2225,8429,4884.9
2018,April,17,591,1003,3006,11439,4884.9
2018,May,4,635,1144,3058,12989,4884.9
2018,June,17,554,1172,2278,11934,4884.9
2018,July,8,557,1244,2271,12366,4884.9
2018,Aug,12,541,989,2648,12721,4884.9
2018,Sept,10,616,1204,3359,12197,4884.9
2018,Oct,8,589,1240,3588,13593,4884.9
2018,Nov,11,575,891,2834,11912,4884.9
2018,Dec,15,528,786,1944,12358,4884.9
2019,Jan,15,499,911,2445,13445,4958.5
2019,Feb,14,587,1020,2723,11776,4958.5
2019,March,11,552,1168,2846,11396,4958.5
2019,April,9,558,1180,3020,12798,4958.5
2019,May,11,600,1136,2992,12733,4958.5
2019,June,11,644,992,2410,11329,4958.5
2019,July,8,590,1225,2537,11486,4958.5
2019,Aug,8,545,1058,2427,11981,4958.5
2019,Sept,18,443,841,2322,10744,4958.5
2019,Oct,10,354,772,2217,11979,4958.5
2019,Nov,11,321,574,1688,9406,4958.5
2019,Dec,15,216,428,1325,7724,4958.5
2020,Jan,9,540,721,2244,10955,5029.9
2020,Feb,19,442,962,2773,10636,5029.9
2020,March,17,521,617,1972,13468,5029.9
2020,April,7,478,596,721,10335,5029.9
2020,May,6,455,802,1397,14815,5029.9
2020,June,12,540,842,2329,18155,5029.9
2020,July,10,582,839,2484,18980,5029.9
2020,Aug,16,561,766,1962,20553,5029.9
2020,Sept,18,674,959,2733,19164,5029.9
2020,Oct,14,569,665,2105,14521,5029.9
2020,Nov,11,554,585,2364,14482,5029.9
2020,Dec,8,574,425,1394,15199,5029.9
2021,Jan,4,437,511,1104,10751,5074.7
2021,Feb,5,564,829,2034,13522,5074.7
2021,March,9,623,715,2116,16388,5074.7
2021,April,18,602,879,2806,15476,5074.7
2021,May,7,623,676,2450,16909,5074.7
2021,June,9,659,704,2603,15999,5074.7
2021,July,17,628,528,1807,17135,5074.7
2021,Aug,21,573,567,1782,15827,5074.7
2021,Sept,11,514,561,1962,15395,5074.7
2021,Oct,12,568,598,2176,15358,5074.7
2021,Nov,3,548,409,1842,14270,5074.7
2021,Dec,19,541,299,1164,12852,5074.7
2022,Jan,14,552,434,1726,14128,5184
2022,Feb,13,488,372,1551,12284,5184
2022,March,16,555,507,1736,13546,5184
2022,April,9,544,548,1734,13627,5184
2022,May,12,552,872,1754,14370,5184
2022,June,13,581,560,1682,14528,5184
2022,July,12,557,576,1556,15972,5184
2022,Aug,12,549,539,1524,15196,5184
2022,Sept,10,498,473,1428,13478,5184
2022,Oct,12,498,440,1612,14787,5184
2022,Nov,17,352,339,1274,13391,5184
2022,Dec,15,262,261,1025,10409,5184
2023,Jan,18,469,433,1506,12294,5281.6
2023,Feb,13,522,479,1526,12719,5281.6
2023,March,12,521,412,1682,11759,5281.6
2023,April,11,463,493,1867,14346,5281.6
2023,May,20,406,543,1832,13300,5281.6
2023,June,10,399,539,1553,13316,5281.6
2023,July,17,264,449,1503,14316,5281.6
