IATA,ICAO,Airline,Country/Region
W7,SAH,Sayakhat Airlines,Kazakhstan
W7,KMR,Western Pacific Airlines,United States
W6,WZZ,Wizz Air,Hungary
W5,IRM,Mahan Air,Iran
W4,BES,Aero Services Executive,France
W4,WMT,Wizz Air Malta,Malta
W3,FYH,Flyhy Cargo Airlines,Thailand
W3,SCL,Switfair Cargo,Canada
W2,CWA,Canadian Western Airlines,Canada
VZ,MYT,MyTravel Airways,United Kingdom
VZ,TVJ,Thai Vietjet Air,Thailand
VY,FOS,Formosa Airlines,Taiwan
VY,VLG,Vueling Airlines,Spain
VX,AES,ACES Colombia,Colombia
VX,VRD,Virgin America,United States
VW,TAO,Aeromar,Mexico
VV,AEW,Aerosvit Airlines,Ukraine
VU,VUN,Air Ivoire,Ivory Coast
VU,VAG,Vietravel Airlines,Vietnam
VT,VTA,Air Tahiti,French Polynesia
VS,VIR,Virgin Atlantic,United Kingdom
VR,TCV,TACV,Cape Verde
VQ,NVQ,Novo Air,Bangladesh
VP,AXC,Indochina Airlines,Vietnam
VP,VSP,VASP,Brazil
VO,TYR,Tyrolean Airways,Austria
VN,TKK,flyADVANCED,United States
VN,HVN,Vietnam Airlines,Vietnam
VM,VMS,His Majesty King Maha Vajiralongkorn,Thailand
VM,VOA,Viaggio Air,Bulgaria
VL,VIM,Air VIA,Bulgaria
VL,LHX,City Airlines,Germany
VK,FVK,FlyViking,Norway
VK,VGN,Virgin Nigeria Airways,Nigeria
VJ,AFF,Africa Airways,Benin
VJ,JTY,Jatayu Airlines,Indonesia
VJ,VJC,Vietjet Air,Vietnam
VI,VDA,Volga-Dnepr Airlines,Russia
VH,ALV,Aeropostal Alas de Venezuela,Venezuela
VH,VVC,Viva Air Colombia,Colombia
VG,VLM,VLM Airlines,Belgium
VF,VLU,Valuair,Singapore
VE,AVE,Avensa,Venezuela
VE,EUJ,EUjet,Ireland
VE,VLE,C.A.I. Second,Italy
VD,KPA,Kunpeng Airlines,China
VD,BBB,SwedJet Airways,Sweden
VC,VCX,Ocean Airlines,Italy
VC,VAL,Voyageur Airways,Canada
VB,VIV,Aeroenlaces Nacionales,Mexico
VB,MSK,Maersk Air UK,United Kingdom
VB,VIV,VivaAerobus,Mexico
VA,OZW,Virgin Australia Regional Airlines,Australia
VA,VOZ,Virgin Australia,Australia
VA,,Viasa,Venezuela
V9,BTC,BAL Bashkirian Airlines,Russia
V9,HCW,Star1 Airlines,Lithuania
V8,VAS,ATRAN Cargo Airlines,Russian Federation
V8,IAR,Iliamna Air Taxi,United States
V7,SNG,Air Senegal International,Senegal
V7,VOE,Volotea,Spain
V5,VLI,Avolar Aerolíneas,Mexico
V5,VPA,DanubeWings,Slovakia
V5,RYL,Royal Aruban Airlines,Aruba
V4,REK,Reem Air,Kyrgyzstan
V4,VES,Vieques Air Link,United States
V3,KRP,Carpatair,Romania
V2,AKT,Karat,Russia
V2,RBY,Vision Airlines,United States
V0,VCV,Conviasa,Venezuela
UZ,BRQ,El-Buraq Air Transport,Libya
UY,UYC,Cameroon Airlines,Cameroon
UX,AEA,Air Europa,Spain
UU,REU,Air Austral,France
UT,UTA,UTair Aviation,Russia
US,AWE,US Airways,United States
US,,Unavia Suisse,Switzerland
UR,UGD,Uganda Airlines,Uganda
UQ,OCM,O'Connor Airlines,Australia
UP,BHS,Bahamasair,Bahamas
UO,HKE,Hong Kong Express Airways,Hong Kong
UN,TSO,Transaero Airlines,Russia
UM,AZW,Air Zimbabwe,Zimbabwe
UL,ALK,SriLankan Airlines,Sri Lanka
UK,VTI,Vistara,India
,,,
UJ,LMU,AlMasria Universal Airlines,Egypt
UI,ECA,Eurocypria Airlines,Cyprus
UI,CSW,SW Italia,Italy
UH,BHL,Bristow Helicopters,United Kingdom
UH,USH,US Helicopter,United States
UG,SEN,Tunisair Express,Tunisia
UG,TUX,Tuninter,Tunisia
UF,UKM,UM Airlines,Ukraine
UE,NAS,Nasair,Eritrea
UE,TEP,Transeuropean Airlines,Russia
UD,HER,Hex'Air,France
UC,LCO,LATAM Cargo Chile,Chile
UB,UBA,Myanma Airways,Myanmar
UA,UAL,United Airlines,United States
U8,RNV,Armavia,Armenia
U8,CYF,Tel Aviv Air,Germany
U7,UGA,Air Uganda,Uganda
U7,,Northern Dene Airways,Canada
U7,JUS,USA Jet Airlines,United States
U6,SVR,Ural Airlines,Russia
U5,,SkyUp MT,Malta
U4,BHA,Buddha Air,Nepal
U4,PMT,PMTair,Cambodia
U3,AIA,Avies,Estonia
U2,EZY,easyJet UK,United Kingdom
TZ,TWG,air-taxi Europe,Germany
TZ,AMT,ATA Airlines,United States
TZ,TDS,Tsaradia,Madagascar
TY,TPC,Air Calédonie,France
TY,IWD,Iberworld,Spain
,TXZ,Thai Express Air,Thailand
TX,FWI,Air Caraïbes,France
TX,TAN,Transportes Aéreos Nacionales,Honduras
TW,TWA,Trans World Airlines,United States
TW,TWB,T'way Air,Republic of Korea
TV,VEX,Virgin Express,Belgium
TU,TAR,Tunisair,Tunisia
TT,KLA,Air Lithuania,Lithuania
TT,TGG,Tigerair Australia,Australia
TS,TSC,Air Transat,Canada
TR,TGW,Scoot,Singapore
TR,TGW,Tigerair Singapore,Singapore
TR,TBA,Transbrasil,Brazil
TQ,TDM,Tandem Aero,Moldova
TP,TAP,TAP Portugal,Portugal
TO,PSD,President Airlines,Cambodia
TO,TVF,Transavia France,France
TN,THT,Air Tahiti Nui,France
TM,LAM,Linhas Aéreas de Moçambique,Mozambique
TL,ANO,Airnorth,Australia
TL,TMA,Trans Mediterranean Airlines,Lebanon
TK,THY,Turkish Airlines,Turkey
TJ,GPD,Tradewind Aviation,United States
TI,TWI,Tailwind Airlines,Turkey
TI,TOL,Tol-Air Services,United States
TH,BRT,BA Connect,United Kingdom
TH,BRT,British Regional Airlines,United Kingdom
TH,RMY,Raya Airways,Malaysia
TG,THA,Thai Airways International,Thailand
TF,SCW,Malmö Aviation,Sweden
TE,LIL,FlyLal,Lithuania
TE,IGA,Skytaxi,Poland
TD,LUR,Atlantis European Airways,Armenia
TD,TLP,Tulip Air,Netherlands
TC,ATC,Air Tanzania,Tanzania
TC,ATC,Air Tanzania Company Limited,Tanzania
TB,JAF,TUI fly Belgium,Belgium
T9,TSX,Thai Star Airlines,Thailand
T9,TRZ,TransMeridian Airlines,United States
T7,TJT,Twin Jet,France
T6,TVR,Tavrey Airlines,Ukraine
T5,TUA,Turkmenistan Airlines,Turkmenistan
T4,TIB,TRIP Linhas Aéreas,Brazil
T3,EZE,Eastern Airways,United Kingdom
T2,TCG,Thai Air Cargo,Thailand
SZ,WOW,Air Southwest,United Kingdom
SY,SCX,Sun Country Airlines,United States
SX,TOR,FlyGTA Airlines,Canada
SX,SRK,Sky Work Airlines,Switzerland
SX,SKB,Skybus Airlines,United States
SW,NMB,Air Namibia,Namibia
SV,SVA,Saudia,Saudi Arabia
SU,AFL,Aeroflot,Russia
ST,STT,"Western Aircraft, Inc",United States
ST,GMI,Germania,Germany
SS,CRL,Corsairfly,France
SR,SWR,Swissair,Switzerland
SR,SDR,Sundair,Germany
SQ,SIA,Singapore Airlines,Singapore
SQ,SQC,Singapore Airlines Cargo,Singapore
SP,SAT,SATA Air Acores,Portugal
SO,HKA,Superior Aviation,United States
SO,OSL,Sosoliso Airlines,Nigeria
SO,AAS,Sunshine Airlines,
SN,BXI,Brussels Airlines,Belgium
SN,BEL,Brussels Airlines,Belgium
SM,AAW,Allied Airways,United Kingdom
SM,SRL,Swedline Express,Sweden
SL,RSL,Rio Sul Serviços Aéreos Regionais,Brazil
SL,TLM,Thai Lion Mentari,Thailand
SK,SAS,Scandinavian Airlines,"Sweden, Denmark and Norway"
SK,CNO,SAS Braathens,Norway
SJ,FOM,Freedom Air,New Zealand
SI,BCI,Blue Islands,United Kingdom
SI,SIH,Skynet Airlines,Ireland
SH,FLY,Fly Me Sweden,Sweden
SH,SHA,Sharp Airlines,Australia
SG,JGO,JetsGo,Canada
SG,SEJ,Spicejet,India
SF,DTH,Tassili Airlines,Algeria
SE,SEU,XL Airways France,France
SD,SUD,Sudan Airways,Sudan
SC,CDG,Shandong Airlines,China
SB,ACI,Air Caledonie International,France
SA,SAA,South African Airways,South Africa
S9,HSA,East African Safari Air,Kenya
S8,CSU,Chari Aviation Services,Chad
S8,SWW,Shovkoviy Shlyah,Ukraine
S8,SWZ,Skywise Airline,South Africa
S7,SBI,S7 Airlines,Russia
S5,SDG,Star Air (India),India
S5,TCF,Shuttle America,United States
S5,LLC,Small Planet Airlines,Lithuania
S5,TSJ,Trast Aero,Kyrgyzstan
S4,RZO,SATA International,Portugal
S3,BBR,Santa Barbara Airlines,Venezuela
S2,RSH,Air Sahara,India
S0,OKS,Slok Air Gambia,Gambia
RZ,LRS,Sansa,Costa Rica
RZ,,Euro Exec Express,Sweden
RX,AEH,Aviaexpress,Hungary
RX,RGE,Regent Airways,Bangladesh
RW,RPA,Republic Airways,United States
RV,AFI,Africaone,The Gambia
RV,ROU,Air Canada Rouge,Canada
RV,CPN,Caspian Airlines,Iran
RU,ABW,AirBridge Cargo,Russia
RU,SKI,SkyKing Turks and Caicos Airways,Turks and Caicos Islands
RT,BUG,UVT Aero,Russia
RS,ASV,Air Seoul,South Korea
RS,ICT,Intercontinental de Aviación,Colombia
RS,MJN,Royal Air Force of Oman,Oman
RR,RFR,Royal Air Force,United Kingdom
RR,RYS,Buzz (Ryanair),Poland
RQ,KMF,Kam Air,Afghanistan
RP,CHQ,Chautauqua Airlines,United States
RO,ROT,Tarom,Romania
RL,ABG,Abakan-Avia,Russia
RL,RIO,Rio Linhas Aéreas,Brazil
RL,PPW,Royal Phnom Penh Airways,Cambodia
RK,RCT,Skyview Airways,THAILAND
RK,RKH,Royal Khmer Airlines,Cambodia
RK,RUK,Ryanair UK,United Kingdom
RJ,RJA,Royal Jordanian,Jordan
RI,MDL,Mandala Airlines,Indonesia
RH,HKC,Hong Kong Air Cargo,Hong Kong
RH,RPH,Republic Express Airlines,Indonesia
RG,VRN,Varig,Brazil
RF,EOK,Aero K,South Korea
RF,FWL,Florida West International Airways,United States
RE,REA,Aer Arann,Ireland
RE,STK,Stobart Air,Ireland
RD,RYN,Ryan International Airlines,United States
RC,FLI,Atlantic Airways,Faroe Islands
RC,REP,Republic Airlines,United States
RB,SBK,Air Srpska,Bosnia and Herzegovina
RB,SYR,Syrian Arab Airlines,Syrian Arab Republic
RA,RNA,Nepal Airlines,Nepal
R9,CAM,Camai Air,United States
R8,KGA,Kyrgyzstan Airlines,Kyrgyzstan
R7,OCA,Aserca Airlines,Venezuela
R6,,RACSA,Guatemala
R5,JAV,Jordan Aviation,Jordan
R5,MAC,Malta Air Charter,Malta
R3,RME,Armenian Airlines,Armenia
R3,SYL,Aircompany Yakutia,Russia
R3,SYL,Yakutia Airlines,Russia
R2,ORB,Orenburg Airlines,Russia
R1,,Sirin,
R0,RPK,Royal Airlines,Pakistan
QZ,AWQ,Indonesia AirAsia,Indonesia
QY,BCS,European Air Transport,Belgium
QX,QXE,Horizon Air,United States
QW,BWG,Blue Wings,Germany
QW,QDA,Qingdao Airlines,China
QV,LAO,Lao Airlines,Lao People's Democratic Republic
QU,UGA,Uganda Airlines (1976–2001),Uganda
QU,UTN,UTair-Ukraine,Ukraine
QT,TPA,TAMPA,Colombia
QS,QSC,African Safari Airways,Kenya
QS,TVS,Smartwings,Czech Republic
QR,QTR,Qatar Airways,Qatar
QQ,UTY,Alliance Airlines,Australia
QQ,ROA,Reno Air,United States
QP,AKJ,Akasa Air,India
QO,MPX,Aeromexpress,Mexico
QO,AJC,Bar Harbor Airlines,United States
QO,OGN,Origin Pacific Airways,New Zealand
QN,ARR,Air Armenia,Armenia
QM,AIM,Air Malawi,Malawi
QL,RLN,Aero Lanka,Sri Lanka
QL,RLN,Lankan Cargo,Sri Lanka
QL,LER,Línea Aérea de Servicio Ejecutivo Regional,Venezuela
QK,JZA,Air Canada Jazz,Canada
QJ,,Jet Airways,United States
QI,CIM,Cimber Sterling,Denmark
QH,FLA,Air Florida,United States
QH,LYN,Air Kyrgyzstan,Kyrgyzstan
QH,FLZ,Aero Leasing,United States
QH,BAV,Bamboo Airways,Vietnam
QH,LYN,Kyrgyzstan,Kyrgyzstan
QF,EAQ,Eastern Australia Airlines,Australia
QF,QFA,Qantas,Australia
QF,QLK,QantasLink,Australia
QF,QJE,QantasLink,Australia
QF,SSQ,Sunstate Airlines,Australia
QE,ECC,Crossair Europe,Switzerland
QD,QCL,Air Class Líneas Aéreas,Uruguay
QC,CRD,Air Corridor,Mozambique
QC,CRC,Camair-Co,Cameroon
QB,AAJ,Air Alma,Canada
QB,GFG,Georgian National Airlines,Georgia
Q9,AFU,Afrinat International Airlines,Gambia
Q8,PEC,Pacific East Asia Cargo Airlines,Philippines
Q7,SBM,SkyBahamas,Bahamas
Q6,CDP,Aero Condor Peru,Peru
Q5,MLA,40-Mile Air,United States
Q4,,Mastertop Linhas Aéreas,Brazil
Q4,SWX,Swazi Express Airways,Eswatini
Q4,TLK,Starlink Aviation,Canada
Q3,MBN,Zambian Airways,Zambia
Q2,DQA,Maldivian (airline),Maldives
PZ,LAP,LATAM Paraguay,Paraguay
PZ,LAP,TAM Mercosur,Paraguay
PY,SLM,Surinam Airways,Suriname
PX,ANG,Air Niugini,Papua New Guinea
PW,PRF,Precision Air,Tanzania
PV,PNR,PAN Air,Spain
PV,SBU,St Barth Commuter,France
PU,PUA,PLUNA,Uruguay
PT,CCI,Capital Cargo International Airlines,United States
PT,SWN,West Air Sweden,Sweden
PS,AUI,Ukraine International Airlines,Ukraine
PR,BOI,2GO,Philippines
PR,PAL,Philippine Airlines,Philippines
PQ,SQP,SkyUp,Ukraine
PP,PJS,Jet Aviation,Switzerland
PO,PAC,Polar Air Cargo,United States
PN,CHB,West Air (China),China
PN,,Pan American Airways,United States
PN,CHB,West Air (China),China
PM,TOS,Tropic Air,Belize
PL,PLI,Aeroperú,Peru
PL,ASE,Airstars,Russia
PK,PIA,Pakistan International Airlines,Pakistan
PJ,SPM,Air Saint Pierre,France
PI,PAI,Piedmont Airlines (1948-1989),United States
PI,SGU,Sol del Paraguay,Paraguay
PI,SUF,Sun Air (Fiji),Fiji
PH,PAO,Polynesian Airlines,Samoa
PG,BKP,Bangkok Airways,Thailand
PF,PNW,Palestinian Airlines,Egypt
PE,AEL,Air Europe Italy,Italy
PE,PEV,People's,Austria
PD,POE,Porter Airlines,Canada
PC,FAJ,Air Fiji,Fiji
PC,PGT,Pegasus Airlines,Turkey
PB,SPR,Provincial Airlines,Canada
PA,FCL,Florida Coastal Airlines,United States
PA,PAA,Pan American Airways,United States
PA,PAA,Pan American World Airways,United States
P9,,Nas Air,Mali
P9,PGP,Perm Airlines,Russia
P9,PVN,Peruvian Airlines,Peru
P8,MKG,Air Mekong,Vietnam
P8,PTN,Pantanal Linhas Aéreas,Brazil
P7,REP,Regional Paraguaya,Paraguay
P7,ESL,Russian Sky Airlines,Russia
P7,LLP,Small Planet Airlines,Poland
P6,PVG,Privilege Style Líneas Aéreas,Spain
P5,RPB,AeroRepública,Colombia
P3,PLS,Aeroflot-Plus,Russia
P3,CLU,Cargo Logic Air,United Kingdom
P3,PTB,Passaredo Transportes Aéreos,Brazil
P2,LLI,Small Planet Airlines,Italy
P0,PFZ,Proflight Zambia,Zambia
OZ,AAR,Asiana Airlines,South Korea
OZ,OZR,Ozark Air Lines,United States
OY,ANS,Andes Líneas Aéreas,Argentina
OY,OAE,Omni Air International,United States
OX,OEA,Orient Thai Airlines,Thailand
OW,EXK,Executive Airlines,United States
OV,ELL,Estonian Air,Estonia
OV,OMS,SalamAir,Oman
OU,CTN,Croatia Airlines,Croatia
OT,PEL,Aeropelican Air Services,Australia
OS,AUA,Austrian Airlines,Austria
OR,TFL,TUI fly Netherlands,Netherlands
OQ,CQN,Chongqing Airlines,China
OP,CHK,Chalk's International Airlines,United States
OO,SKW,SkyWest Airlines,United States
ON,RON,Our Airline,Nauru
OM,MGL,MIAT Mongolian Airlines,Mongolia
OL,OLT,OLT Express Germany,Germany
OL,SZB,Samoa Air,Samoa
OL,ULS,Ultra Air,Colombia
OK,CSA,Czech Airlines,Czech Republic
OJ,FJM,Fly Jamaica Airways,Jamaica
OJ,OLA,Overland Airways,Nigeria
OH,COM,Comair,United States
OH,JIA,PSA Airlines,United States
OG,FPY,Play,Iceland
OF,FIF,Air Finland,Finland
OF,ENT,Enter Air,Poland
OF,TML,Transports et Travaux Aériens de Madagascar,Madagascar
OE,AOT,Asia Overnight Express,Philippines
OE,LDM,LaudaMotion,Austria
OD,MXD,Malindo Airways,Malaysia
OB,AAT,Austrian Airtransport,Austria
OB,ASZ,Astrakhan Airlines,Russia
OB,BOV,Boliviana de Aviación,Bolivia
OB,AAN,Oasis Airlines,Spain
OB,AAN,Oasis International Airlines Now assigned to Boliviana de Aviacion (BoA),Spain
OA,OAL,Olympic Air,Greece
OA,OAL,Olympic Airlines,Greece
O9,NOV,Nova Airways,Sudan
O8,OHK,Oasis Hong Kong Airlines,Hong Kong
O7,OZJ,OzJet,Australia
O6,ONE,Avianca Brasil,Brazil
O4,ABV,Antrak Air,Ghana
O3,CSS,SF Airlines,China
O2,JEA,OLT Express,Poland
O2,,Linear Air,United States
NZ,ANZ,Air New Zealand,New Zealand
,,,
NZ,RLK,Air Nelson,New Zealand
NZ,EAG,Eagle Airways,New Zealand
NY,FXI,Air Iceland,Iceland
NX,AMU,Air Macau,Macao
NW,NWA,Northwest Airlines,United States
,,,
NV,CRF,Air Central,Japan
NU,JTA,Japan Transocean Air,Japan
NT,IBB,Binter Canarias,Spain
NS,HBH,Hebei Airlines,China
NR,PIR,Pamir Airways,Afghanistan
NQ,AJX,Air Japan,Japan
NO,AUS,Aus-Air,Australia
NO,NOS,Neos,Italy
NN,MOV,VIM Airlines,Russia
NM,DRD,Air Madrid,Spain
NM,NZM,Mount Cook Airline,New Zealand
NL,SAI,Shaheen Air,Pakistan
NK,NKS,Spirit Airlines,United States
NI,,LANICA,Nicaragua
NI,PGA,Portugalia,Portugal
NH,ANA,All Nippon Airways,Japan
NG,LDA,Lauda Air,Austria
NF,AVN,Air Vanuatu,Vanuatu
NE,ESK,SkyEurope,Slovakia
NC,NJS,National Jet Systems,Australia
NC,NAC,Northern Air Cargo,United States
NB,SNB,Sterling Airlines,Denmark
NA,NAL,National Airlines,United States
NA,NAO,North American Airlines,United States
N9,,North Coast Aviation,Papua New Guinea
N9,SHA,Shree Airlines,Nepal
N8,HGK,Fika Salaama Airlines,Uganda
N8,NCR,National Air Cargo dba National Airlines,United States
N7,ROK,National Airlines,United States
N6,JEV,Lagun Air,Spain
N6,ACQ,Nuevo Continente,Peru
N5,KGZ,Kyrgyz Airlines,Kyrgyzstan
N5,FEY,Fly Easy,India
N5,,Norfolk Air,Norfolk Island
N5,SGY,Skagway Air Service,United States
N4,MTC,Mountain Air Company,Sierra Leone
N4,NCN,National Airlines,Chile
N4,NWS,Nordwind Airlines,Russia
N2,DAG,Dagestan Airlines,Russia
N2,QNK,Kabo Air,Nigeria
N0,NBT,Norse Atlantic Airways,Norway
,NCC,T3 Aviation Inc.,United States
MZ,MNA,Merpati Nusantara Airlines,Indonesia
MY,MWG,MASwings,Malaysia
MY,MXJ,Maxjet Airways,United States
MY,MWA,Midwest Airlines (Egypt),Egypt
MX,MXY,Breeze Airways,United States
MX,MXA,Mexicana de Aviación,Mexico
MW,MYD,Maya Island Air,Belize
MW,MUL,Mokulele Airlines,United States
MV,RML,Air Mediterranean,Greece
MU,CES,China Eastern Airlines,China
MT,JMC,JMC Airlines,United Kingdom
MT,TCX,Thomas Cook Airlines,United Kingdom
MS,MSR,Egyptair,Egypt
MR,MRT,Air Mauritanie,Mauritania
MR,MML,Hunnu Air,Mongolia
MQ,EGF,American Eagle Airlines,United States
MQ,ENY,Envoy Air,United States
MP,MPH,Martinair,Netherlands
MO,CAV,Calm Air,Canada
MO,AUH,Presidential Flight,United Arab Emirates
MN,CAW,Comair,South Africa
MM,MMZ,EuroAtlantic Airways,Portugal
MM,SAM,SAM Colombia,Colombia
ML,AEK,Aero Costa Rica,Costa Rica
ML,BIE,Air Mediterranee,France
ML,ETC,African Transport Trading and Investment Company,Sudan
ML,MDW,Midway Airlines (1976–1991),United States
MK,MAU,Air Mauritius,Mauritius
MJ,LPR,Líneas Aéreas Privadas Argentinas,Argentina
MJ,MLR,Mihin Lanka,Sri Lanka
MI,SLK,SilkAir,Singapore
MH,MAS,Malaysia Airlines,Malaysia
MG,CCP,Champion Air,United States
MF,CXA,Xiamen Airlines,China
ME,MEA,Middle East Airlines,Lebanon
MD,MDG,Air Madagascar,Madagascar
MC,RCH,Air Mobility Command,United States
MB,EXA,Execair Aviation,Canada
MB,MNB,MNG Airlines,Turkey
MA,MAH,Malév Hungarian Airlines,Hungary
M9,MSI,Motor Sich Airlines,Ukraine
M8,MKN,Mekong Airlines,Cambodia
M7,MAA,MasAir,Mexico
M7,MSL,Marsland Aviation,Sudan
M7,TBG,Tropical Airways,Haiti
M6,AJT,Amerijet International,United States
M5,KEN,Kenmore Air,United States
M4,MSA,Mistral Air,Italy
M4,MSA,Poste Air Cargo,Italy
M3,TUS,ABSA Cargo,Brazil
M3,SPJ,Air Service,Macedonia
M3,NFA,North Flying,Denmark
M2,MZS,Mahfooz Aviation,Gambia
M2,MHV,MHS Aviation GmbH,Germany
LZ,LAZ,Balkan Bulgarian Airlines,Bulgaria
LZ,SWU,Swiss Global Air Lines,Switzerland
LY,ELY,El Al Israel Airlines,Israel
LX,SWR,Swiss International Air Lines,Switzerland
LW,NMI,Pacific Wings,United States
LW,FDY,Sun Air International,United States
LV,LBC,Albanian Airlines,Albania
LV,LVL,Level,Spain and France
LU,LXP,LATAM Express,Chile
LT,LTU,LTU International,Germany
LT,SNG,LJ Air,China
LT,SNG,LongJiang Airlines,China
LS,EXS,Jet2.com,United Kingdom
LS,EXS,Jet2,United Kingdom
LR,LRC,LACSA,Costa Rica
LQ,LAQ,Lebanese Air Transport,Lebanon
LP,LPE,LATAM Peru,Peru
LO,LOT,LOT Polish Airlines,Poland
LN,LAA,Libyan Arab Airlines,Libya
LM,LVG,Livingston Energy Flight,Italy
